animal,Tiene_Pelo,Tiene_Plumas,Nace_de_huevo,Toma_Leche,Vuela,Acuatico,Depredador,Dentado,Vertebrado,Respira,Venenoso,Tiene_Aletas,Cant_Patas,Tiene_Cola,Domestico,Tamano_Gato,Clase
mosca,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Insecto
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,Ave
vaca_de_San_Antonio,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,Insecto
calandria,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Ave
leopardo,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mamifero
leon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mamifero
langosta,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,Invertebrado
lince,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mamifero
vison,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,Mamifero
topo,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Mamifero
mangosta,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mamifero
polilla,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Insecto
triton,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,Anfibio
pulpo,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,Invertebrado
zarigueya,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Mamifero
orix,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mamifero
avestruz,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,Ave
perico,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Ave
pinguino,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,Ave
faisan,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Ave
lucio,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Pez
pirana,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Pez
vivora,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,Reptil
ornitorrinco,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,Mamifero
gato_montes,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mamifero
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mamifero
marsopa,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Mamifero
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mamifero
gato,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,Mamifero
mapache,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mamifero
reno,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mamifero
nandu,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,Ave
escorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,Invertebrado
caballito_de_mar,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Pez
foca,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,Mamifero
leon_marino,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,Mamifero
serpiente_marina,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,Reptil
avispa_marina,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,Invertebrado
picotijera,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Ave
pagalo,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Ave
lombriz,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,Reptil
babosa,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Invertebrado
lenguado,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Pez
gorrion,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Ave
ardilla,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,Mamifero
estrella_de_mar,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,Invertebrado
pastinaca,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,Pez
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,Ave
termita,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Insecto
sapo,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,Anfibio
tortuga,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,Reptil
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,Reptil
atun,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Pez
vampiro,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,Mamifero
raton_de_campo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,Mamifero
vuitre,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,Ave
canguro,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,Mamifero
avispa,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,Insecto
lobo,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mamifero
gusano,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Invertebrado
troglodito,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Ave
